会社名,住所,電話番号
串かつ太郎,大阪府大阪市阿倍野区 阿倍野筋1-3-7,06-6622-6634
点心飯店,大阪府大阪市阿倍野区 阿倍野元町5-6,06-6623-8514
祇園寿司,大阪府大阪市阿倍野区 阿倍野筋4-4-12,06-6624-4525
すし豊,大阪府大阪市阿倍野区 王子町2-17-29,06-6623-5417
寿司二八,大阪府大阪市阿倍野区 阪南町1-28-7,06-6628-8428
だるま寿司,大阪府大阪市阿倍野区 阪南町1-46-26,06-6621-1846
松すし 鶴ヶ丘駅前,大阪府大阪市阿倍野区 西田辺町2-2-15,06-6692-1722
松葉すし,大阪府大阪市阿倍野区 阿倍野筋1-3-20,06-6621-1603
芳すし,大阪府大阪市阿倍野区 万代1-1-2,06-6623-2291
四季菜 久富,大阪府大阪市阿倍野区 阪南町1-48-15,06-6623-0511
たくぼ,大阪府大阪市阿倍野区 美章園2-19-18,06-6719-9780
ねぼけ,大阪府大阪市阿倍野区 阪南町2-3-11,06-6621-1194
MOS BURGER 昭和町店,大阪府大阪市阿倍野区 昭和町2-18-1,06-6627-5150
本陣,大阪府大阪市阿倍野区 美章園2-18-3,06-6713-9992
じゃいン家,大阪府大阪市阿倍野区 昭和町5-12-4,06-6623-3449
永楽,大阪府大阪市阿倍野区 美章園2-17-5,06-6719-4090
南極,大阪府大阪市阿倍野区 阪南町5-4-19,06-6622-6546
平戸飯店,大阪府大阪市阿倍野区 王子町2-6-5,06-6624-0655
明洋軒,大阪府大阪市阿倍野区 美章園2-25-8,06-6719-5732
来々軒,大阪府大阪市阿倍野区 北畠1-13-4,06-6623-0201
旬彩 雲海,大阪府大阪市阿倍野区 王子町4-3-23,06-6623-3751
二葉園,大阪府大阪市阿倍野区 阪南町1-47-5,06-6623-5285
ハンバーグレストラン ボストン,大阪府大阪市阿倍野区 阪南町1-50-4,06-6625-0050
サンフラワー,大阪府大阪市阿倍野区 三明町2-10-16,06-6622-3005
Parfum,大阪府大阪市阿倍野区 阿倍野筋3-7-16,06-6627-6800
創作酒坊 十六夜 二丁目,大阪府大阪市阿倍野区 阿倍野筋2-4-48,06-6623-8994
炭火酒菜ニョッキ,大阪府大阪市阿倍野区 阿倍野筋1-2-19,06-6624-4731
らーめん極,大阪府大阪市阿倍野区 旭町1-1-26,06-6644-3849
亜珈,大阪府大阪市阿倍野区 阪南町2-3-11,06-6624-4633
いこい,大阪府大阪市阿倍野区 王子町1-5-25,06-6624-4838
カーム,大阪府大阪市阿倍野区 王子町3-13-7,06-6623-4352
カサブランカ,大阪府大阪市阿倍野区 西田辺町2-2-13,06-6692-4455
カフェ＆パスタ MIYAJI,大阪府大阪市阿倍野区 北畠1-23-2,06-6623-7858
喫茶三丁目,大阪府大阪市阿倍野区 阿倍野筋3-12-2,06-6641-5131
じゃるだん,大阪府大阪市阿倍野区 王子町2-4-9,06-6628-8862
チャンス,大阪府大阪市阿倍野区 美章園2-28-10,06-6714-0948
カフェギャラリー華 HANA,大阪府大阪市阿倍野区 昭和町2-20-15,06-6629-2567
ボン,大阪府大阪市阿倍野区 王子町2-3-14,06-6629-0918
ミツヤ,大阪府大阪市阿倍野区 美章園1-9-20,06-6622-6703
粋翔苑,大阪府大阪市阿倍野区 西田辺町1-2-9,06-6695-2211
レストラン THE ROSY,大阪府大阪市阿倍野区 昭和町1-16-24,06-6627-0122
ハワイ,大阪府大阪市阿倍野区 昭和町1-8-8,06-7896-0801
夢KAN,大阪府大阪市阿倍野区 阪南町1-52-6,06-6623-0757
大喜寿司,大阪府大阪市阿倍野区 美章園2-18-2,06-6713-5422
旬菜 KOMAI,大阪府大阪市阿倍野区 北畠3-12-45,06-6652-1101
エビス屋,大阪府大阪市阿倍野区 阿倍野筋2-4-48,06-6629-6476
丸幸水産 昭和町店,大阪府大阪市阿倍野区 阪南町2-5-3,06-6622-5562
いちりん,大阪府大阪市阿倍野区 王子町2-1-1,06-6624-1888
もつ鍋とビオワイン ぼん,大阪府大阪市阿倍野区 昭和町2-2-2,06-6628-2267
みなべ屋,大阪府大阪市阿倍野区 万代1-6-1,06-6621-0106
焼肉亭,大阪府大阪市阿倍野区 王子町1-4-20,06-6628-5620
サンミ あべの店,大阪府大阪市阿倍野区 阿倍野筋2-4-39,06-6622-2135
cafe＋ LUANA,大阪府大阪市阿倍野区 昭和町2-1-4,06-7890-0877
牛心,大阪府大阪市阿倍野区 西田辺町1-1-2,06-6607-9494
丸まさ鮨,大阪府大阪市阿倍野区 昭和町1-9-1,06-6622-3351
MOS BURGER 近鉄あべの橋店,大阪府大阪市阿倍野区 阿倍野筋1-1-43,06-6624-6551
天下一品 天王寺店,大阪府大阪市阿倍野区 阿倍野筋1-6-1,06-6632-0800
蕎麦切り 大城,大阪府大阪市阿倍野区 西田辺町2-6-13,06-6691-0046
陽気,大阪府大阪市阿倍野区 昭和町1-9-8,06-6622-6560
山長酒店,大阪府大阪市阿倍野区 美章園2-2-29,06-6714-0200
札幌ラーメン白樺,大阪府大阪市阿倍野区 阿倍野筋3-5-23,06-6621-4455
麺屋 彩々,大阪府大阪市阿倍野区 阪南町1-46-8,06-6628-5999
西光園 あべの店,大阪府大阪市阿倍野区 阿倍野元町1-13,06-6623-4955
麺工房 北の,大阪府大阪市阿倍野区 昭和町1-4-34,06-6621-2600
阿倍野だんご本舗 昭和町本店,大阪府大阪市阿倍野区 昭和町2-18-26,06-6622-5333
金魚カフェ,大阪府大阪市阿倍野区 阪南町1-52-5,06-6622-0021
COFFEE SWAN 純喫茶スワン 阿倍野店,大阪府大阪市阿倍野区 阿倍野筋1-3-19,06-6624-4337
すし処 高松,大阪府大阪市阿倍野区 昭和町2-1-21,06-4399-1234
多門,大阪府大阪市阿倍野区 王子町4-3-11,06-6628-7785
一,大阪府大阪市阿倍野区 美章園2-4-7,06-6713-0713
炎心,大阪府大阪市阿倍野区 昭和町5-12-2,06-6621-9494
もりたこ,大阪府大阪市阿倍野区 昭和町2-6-25,06-6621-8890
料理人の魚屋 入福,大阪府大阪市阿倍野区 北畠1-12-12,06-6629-6680
街かど屋 阿倍野店,大阪府大阪市阿倍野区 阿倍野筋2-4-43,06-6624-1241
こばやし,大阪府大阪市阿倍野区 阪南町1-46-8,06-6627-5780
酒笑人,大阪府大阪市阿倍野区 西田辺町2-6-12,06-6655-0344
Zele,大阪府大阪市阿倍野区 阿倍野筋1-3-7,06-6624-4711
来々軒,大阪府大阪市阿倍野区 天王寺町北2-24,06-6713-7884
うを佐 花ぐるま,大阪府大阪市阿倍野区 阿倍野筋1-1-43,06-6625-2366
たこ焼き やしき,大阪府大阪市阿倍野区 阪南町3-19-27,06-6623-0498
街かどマーチ cafe 駅前店,大阪府大阪市阿倍野区 阪南町1-50-8,06-6621-6330
cafe JOY,大阪府大阪市阿倍野区 西田辺町1-2-20,06-7896-5911
BISTRO TIA－VO,大阪府大阪市阿倍野区 昭和町1-21-16,06-7161-5009
キッチンまえだ,大阪府大阪市阿倍野区 西田辺町1-4-4,06-6691-4700
Live Kitchen COOKA,大阪府大阪市阿倍野区 阿倍野筋1-1-43,06-6628-6187
たわわ,大阪府大阪市阿倍野区 王子町1-11-26,06-6606-8798
創作鶏料理 GOKU楽鳥,大阪府大阪市阿倍野区 昭和町1-5-2,06-6628-5151
河原崎,大阪府大阪市阿倍野区 王子町3-3-2,06-6622-6895
ジョニーのからあげ 昭和町店,大阪府大阪市阿倍野区 昭和町1-5-1,06-6629-4421
地中海バールShimpatico,大阪府大阪市阿倍野区 阿倍野筋3-1-2,06-6690-0400
Monky’s Cafe,大阪府大阪市阿倍野区 西田辺町1-1-24,06-6654-7029
菊屋,大阪府大阪市阿倍野区 昭和町1-9-1,06-6628-6088
たか橋,大阪府大阪市阿倍野区 西田辺町1-2-4,06-6692-7533
Oha Bar,大阪府大阪市阿倍野区 阿倍野筋2-4-48,06-7713-0922
Wisteria,大阪府大阪市阿倍野区 昭和町2-1-5,06-6622-0023
だいじゅ,大阪府大阪市阿倍野区 三明町2-11-22,06-6654-6939
ちゃぼ,大阪府大阪市阿倍野区 阪南町5-21-8,06-6690-7185
いきなり！ステーキ あべのルシアス店,大阪府大阪市阿倍野区 阿倍野筋1-5-1,06-4393-8429
abeno SAWA,大阪府大阪市阿倍野区 阿倍野筋4-20-1,06-6658-2322
金沢カレーフォーシーズンインデアン,大阪府大阪市阿倍野区 美章園2-26-13,06-4303-4044
三吉寿司,大阪府大阪市阿倍野区 阿倍野筋3-3-7,06-6622-7890
平蔵 本店,大阪府大阪市阿倍野区 阪南町2-4-16,06-7173-7718
寿し辰,大阪府大阪市阿倍野区 阪南町1-30-1,06-6628-1600
COZY coffee spot,大阪府大阪市阿倍野区 帝塚山1-7-3,06-7710-7062
鳥豊商店,大阪府大阪市阿倍野区 阿倍野筋4-11-10,06-6623-6672
あたりきしゃりき堂,大阪府大阪市阿倍野区 阿倍野元町9-7,06-6623-1890
レストラン ZK（ジーケー）,大阪府大阪市阿倍野区 阿倍野筋1-1-43,06-6628-6187
アートカフェSAKURA,大阪府大阪市阿倍野区 美章園3-2-2,06-6622-1117
bowl,大阪府大阪市阿倍野区 昭和町1-4-20,06-6621-0577
炭火焼 鳥心,大阪府大阪市阿倍野区 阪南町5-24-27,06-6693-1122
おいしい居酒屋 今家,大阪府大阪市阿倍野区 昭和町1-9-5,06-6622-5538
もちや,大阪府大阪市阿倍野区 万代1-6-1,06-7163-6100
盈月,大阪府大阪市阿倍野区 阿倍野筋5-9-36,06-6654-4120
焼肉 肉兵衛,大阪府大阪市阿倍野区 阿倍野筋2-4-39,06-6621-7700
もつ鍋 一将,大阪府大阪市阿倍野区 西田辺町1-6-15,06-6115-6798
焼肉 モモンジ,大阪府大阪市阿倍野区 阿倍野筋1-2-5,06-6626-2929
阿倍野バル ムスビメ,大阪府大阪市阿倍野区 阿倍野筋4-17-17,06-6623-6239
焼肉南門,大阪府大阪市阿倍野区 西田辺町2-8-10,06-6606-1023
友安製作所 Cafe＆Bar 阿倍野,大阪府大阪市阿倍野区 阿倍野筋2-3-8,06-6627-2004
中華厨房 トクチャイナ,大阪府大阪市阿倍野区 西田辺町1-2-2,06-6624-9377
源兵衛 天王寺あべの店,大阪府大阪市阿倍野区 阿倍野筋2-4-45,06-6627-0939
旬菜手料理 雲,大阪府大阪市阿倍野区 旭町1-6-3,06-6631-2099
くしくし串カツ,大阪府大阪市阿倍野区 阪南町1-50-9,06-6621-7730
豚と野菜 ポルチエ,大阪府大阪市阿倍野区 昭和町1-16-13,06-6654-5335
バードットコム,大阪府大阪市阿倍野区 阿倍野筋3-8-14,06-6624-2233
焼とん じん家,大阪府大阪市阿倍野区 阿倍野筋3-8-36,06-6621-8778
Bar de Espana risa risa,大阪府大阪市阿倍野区 昭和町2-12-10,06-6629-6055
HAMON CAFE 西田辺,大阪府大阪市阿倍野区 西田辺町2-2-26,06-6609-1155
夢菜館,大阪府大阪市阿倍野区 阪南町3-19-1,06-7503-7698
美好寿司,大阪府大阪市阿倍野区 阪南町5-4-19,06-6623-6466
王子珈琲,大阪府大阪市阿倍野区 王子町3-3-20,06-6657-4658
和牛専門店生ホルモンちえちゃん,大阪府大阪市阿倍野区 昭和町1-9-4,06-6621-7810
SAKEdining SiAnn,大阪府大阪市阿倍野区 昭和町1-15-6,06-6616-7417
洋食 ふきのとう,大阪府大阪市阿倍野区 阪南町1-47-23,06-6628-8502
スタンドくりけん,大阪府大阪市阿倍野区 昭和町1-5-19,06-6655-1506
九州料理のぼせもん,大阪府大阪市阿倍野区 西田辺町1-6-20,06-6616-7116
楽味,大阪府大阪市阿倍野区 西田辺町1-3-41,06-6616-7355
札幌ラーメン みそ吟 長居公園店,大阪府大阪市阿倍野区 西田辺町2-5-4,06-7503-7542
虹の向こうへ,大阪府大阪市阿倍野区 阪南町1-53-23,06-6625-8625
本格中華ダイニング NATURAL NINE,大阪府大阪市阿倍野区 阿倍野元町2-4,06-6627-9009
食悦堂,大阪府大阪市阿倍野区昭和町5-10-27,06-6629-1215
あじ処 なる 阿倍野店,大阪府大阪市阿倍野区松崎町2-3-62,06-6624-7896
山陰漁港直送 うおはる,大阪府大阪市阿倍野区松崎町2-3-60,06-6624-2900
鮨 航 ‐SUSHI WATARU‐,大阪府大阪市阿倍野区松崎町2-3-5,06-6621-5522
焼鳥屋 鳥貴族 昭和町駅前店,大阪府大阪市阿倍野区昭和町1-5-26,050-1807-6698
肉処 おいにく,大阪府大阪市阿倍野区昭和町1-3-28,06-6621-6155
個室×イタリアン ロジック 天王寺店,大阪府大阪市阿倍野区松崎町2-3-63,06-6625-6677
天王寺都ホテル スカイレストラン エトワール,大阪府大阪市阿倍野区 松崎町1-2-8,06-6627-4905
いせや食堂,大阪府大阪市阿倍野区 松崎町1-2-32,06-6629-2565
橘,大阪府大阪市阿倍野区 阪南町1-57-8 102,06-6624-4772
お茶のこさい菜,大阪府大阪市阿倍野区 天王寺町北2-2-2,06-6713-0072
加賀味,大阪府大阪市阿倍野区 播磨町1-9-13,06-6624-3344
穂高,大阪府大阪市阿倍野区 松崎町2-9-25,06-6629-0140
美吉野,大阪府大阪市阿倍野区 松崎町2-3-53,06-6623-4761
お食事処 かどや,大阪府大阪市阿倍野区 松崎町3-10-12,06-6621-6792
力餅 アベノ店,大阪府大阪市阿倍野区 松崎町4-2-2,06-6623-1150
てんぷらこざき,大阪府大阪市阿倍野区 松崎町4-11-38,06-6628-0063
わらじや 亭天よし,大阪府大阪市阿倍野区 松崎町2-3-19,06-6624-4688
鳥一番,大阪府大阪市阿倍野区 天王寺町南2-2-5,06-6719-8485
味よし,大阪府大阪市阿倍野区 天王寺町北2-23-22,06-6714-5821
がむしゃら紀州備長炭焼鳥,大阪府大阪市阿倍野区 天王寺町北2-6-3,06-6713-8123
カフェレスト 苺,大阪府大阪市阿倍野区 播磨町1-4-15,06-6628-1121
和楽,大阪府大阪市阿倍野区 松崎町4-1-14,06-7890-2884
久呂寿し,大阪府大阪市阿倍野区 松崎町2-3-37,06-6624-3349
土佐市,大阪府大阪市阿倍野区 天王寺町北3-12-6,06-6714-5874
蕎麦 吉村,大阪府大阪市阿倍野区 播磨町1-24-8,06-6608-0908
ザ ロック食堂,大阪府大阪市阿倍野区 松崎町4-5-38,06-4399-5353
Bar CABASA,大阪府大阪市阿倍野区 播磨町1-23-15,06-6608-6237
Bar 2nd LOBO,大阪府大阪市阿倍野区 松崎町2-3-54,06-6625-7701
市羽,大阪府大阪市阿倍野区 旭町2-1-1 131,06-6633-5180
堀内チキンライス,大阪府大阪市阿倍野区 天王寺町南2-10-1,06-7492-8265
ホルモン 炭火焼肉 こてつ,大阪府大阪市阿倍野区 天王寺町北2-2-5,06-6714-4600
竹のや,大阪府大阪市阿倍野区 天王寺町南2-22-25,06-6714-0712
居酒屋 ふくちゃん,大阪府大阪市阿倍野区 天王寺町北2-3-2,06-6713-2308
Lezzet,大阪府大阪市阿倍野区 松崎町2-3-21,06-7850-1412
串かつ専門店 やぐら,大阪府大阪市阿倍野区 天王寺町南2-10-1,06-6714-7211
ペギーズ,大阪府大阪市阿倍野区 天王寺町北3-5-24,06-6713-7204
お好み焼 げん,大阪府大阪市阿倍野区 天王寺町北2-13-5,06-6719-1070
とりなべ亭 寺田町店,大阪府大阪市阿倍野区 天王寺町北2-2-2,06-6719-3335
Otis Blue,大阪府大阪市阿倍野区 天王寺町北1-1-4,06-6713-1302
大喜,大阪府大阪市阿倍野区 天王寺町北1-1-6,06-7181-5363
オカモト,大阪府大阪市阿倍野区 松虫通3-6-7,06-6115-6267
かんたろう,大阪府大阪市阿倍野区 天王寺町北2-2-13,06-6713-0098
ふじもと家,大阪府大阪市阿倍野区 松虫通3-8-9,06-6655-4453
粋,大阪府大阪市阿倍野区 松崎町2-3-50,06-6624-6567
満マル 寺田町店,大阪府大阪市阿倍野区 天王寺町北2-2-4,06-6719-3080
ロビーラウンジ,大阪府大阪市阿倍野区 松崎町1-2-8,06-6628-3267
松寿し 家族亭,大阪府大阪市阿倍野区 天王寺町南2-22-3,06-6719-0701
南の島のご馳走屋,大阪府大阪市阿倍野区 松崎町2-1-41,06-7897-8029
ダーツバー DD,大阪府大阪市阿倍野区阿倍野筋2-1-35 3F,06-6621-8042
焼肉 王道familiar あべのキューズモール店,大阪府大阪市阿倍野区阿倍野筋1-6-1 4F,06-6631-8929
あべのダイニング バズ（Dining BUZZ）,大阪府大阪市阿倍野区阿倍野筋2-1-15 3F,06-7222-1534
シーシャカフェ＆バー muse天王寺店,大阪府大阪市阿倍野区阿倍野筋1-2-1 5F,06-6626-4667
京鼎樓 あべのキューズモール店,大阪府大阪市阿倍野区阿倍野筋1-6-1 4F,06-4394-7430
一蘭 あべの店,大阪府大阪市阿倍野区阿倍野筋1-3-18 B1,050-1808-9275
どうとんぼり神座 あべのキューズモール店,大阪府大阪市阿倍野区阿倍野筋1-6-1 3F,06-6636-3790
トラットリア イルマーニ,大阪府大阪市阿倍野区 西田辺町1-1-7 福本ビル,06-6608-2488
恵美寿屋,大阪府大阪市阿倍野区 阿倍野筋1-5-1 B1,06-4396-1133
母や,大阪府大阪市阿倍野区 文の里1-4-6,06-6622-7876
肥後すし,大阪府大阪市阿倍野区 文ノ里1-2-4,06-6624-1715
文の里 松寿司,大阪府大阪市阿倍野区 文の里4-1-5,06-6621-1752
葡萄家 まはり,大阪府大阪市阿倍野区 文の里1-8-24,06-6624-5001
ウイスキーキャット1494,大阪府大阪市阿倍野区 昭和町1-10-1 2F,06-6623-1494
こふく,大阪府大阪市阿倍野区 松崎町2-1-41 102,06-7897-8029
串 大萬,大阪府大阪市阿倍野区 文の里1-8-30,06-6623-2986
DJANGO,大阪府大阪市阿倍野区 王子町2-4-11 1F,06-6115-7955
明るい農村,大阪府大阪市阿倍野区 阿倍野筋3-10-1 1F,06-6641-4321
sea茶インド料理,大阪府大阪市阿倍野区 阪南町2-20-5 1F,06-6657-4322
洋食とステーキ 健,大阪府大阪市阿倍野区 文の里1-8-29,06-6654-3396
呑み処こにし,大阪府大阪市阿倍野区 文の里4-1-1,06-6624-0524
おぼんdeごはん あべのキューズモール店,大阪府大阪市阿倍野区 阿倍野筋1-6-1 4F,06-6585-9296
博多名物鉄なべ 阿倍野店,大阪府大阪市阿倍野区 阿倍野元町2-1 2F,06-6623-5666
Wine＆Dining bar Terrazzi 〜テラッチ〜西田辺,大阪府大阪市阿倍野区 西田辺町2-1-19 猿鶴,06-6692-0155
らーめん 熊五郎 アポロ店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビルB2,06-6649-4139
寿司 炉端 海鮮居酒屋 吾作どん 天王寺アポロ店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル10F,06-6647-1361
焼肉ホルモン 肉匠かど家 天王寺アポロ店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル10F,06-6633-5391
すし てんぷら 吾作亭 阿倍野店,大阪府大阪市阿倍野区阿倍野筋2-4-56 セカンドビル1F,06-6627-5399
焼肉 武者震い,大阪府大阪市阿倍野区昭和町2-1-13 2F,06-6606-8878
居酒屋 個室×時間無制限 食べ飲み放題 かなで 天王寺店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル12F,070-3981-1492
200品食べ飲み放題 いろ葉 IROHA 天王寺アポロビル店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル12F,06-6809-5706
完全個室 焼き鳥×海鮮×串カツ 食べ飲み放題 とろ政 天王寺店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル12F,080-7695-2582
炭焼屋 神力,大阪府大阪市阿倍野区阿倍野筋2-4-48 日光阿倍野ビル,06-6623-3401
鶏酒場 大阪天王寺 アイボリー,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビルB2,06-6760-4818
焼肉 しゃぶしゃぶ 食べ放題 はや 阿倍野アポロ店,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル11F,06-6647-6100
楓林閣 （ふうりんかく）アベノ店,大阪府大阪市阿倍野区 阿倍野筋1-5-31 アポロビル9F,06-6649-1055
まんぷく,大阪府大阪市阿倍野区 阪南町7-1-2 メゾンヒロ1F,06-6692-4129
祭太鼓 あべのルシアス店,大阪府大阪市阿倍野区 阿倍野筋1-5-1 ルシアスビルB1,06-6636-7725
カレーハウス スパイシー アポロ店,大阪府大阪市阿倍野区 阿倍野筋1-5-31 アポロビルB2,06-6647-1101
居酒屋さらむむ,大阪府大阪市阿倍野区 阿倍野筋3-10 あべのベルタ B205,06-6649-7309
美ら鍋 赤瓦,大阪府大阪市阿倍野区 阿倍野筋1-2-5 イコイビル4F,06-4399-4711
明石焼 お好み焼 たこ八 あべのルシアス,大阪府大阪市阿倍野区 阿倍野筋1-5-1 ルシアスビルB1,06-6649-6655
EAST,大阪府大阪市阿倍野区 阿倍野筋2-1-18 サードビル3F,06-6622-8191
スタンドふじ 本店,大阪府大阪市阿倍野区 阿倍野筋1-5-1 ルシアスビルB1,06-6648-8022
バール Boa Viagem,大阪府大阪市阿倍野区 松崎町2-3-60 1F,06-7502-2749
WEST,大阪府大阪市阿倍野区 阿倍野筋2-4-56 セカンドビル2F,06-6624-4343
スタンド 富,大阪府大阪市阿倍野区 阿倍野筋1-5-1 ルシアスビルB1,06-6649-0394
LUCE （ルーチエ）,大阪府大阪市阿倍野区 王子町1-2-16 ハニオカハイツ1F,06-4703-5446
星乃珈琲店 近鉄hoop店,大阪府大阪市阿倍野区 阿倍野筋1-2-30 HOOP B1,06-6654-4751
さかとけQ’S店,大阪府大阪市阿倍野区 阿倍野筋1-6-1 ヴィアあべのウォーク,06-6643-1215
The haus This tee 阿倍野,大阪府大阪市阿倍野区 旭町1-3-15 あべのアスト102,06-6636-7372
完全個室＆黒毛和牛焼肉 善,大阪府大阪市阿倍野区阿倍野筋2-4-49 アベニューホール2・3F,06-7850-2090
あべのHoop 韓国料理 bibim,大阪府大阪市阿倍野区阿倍野筋1-2-30 あべのHoop B1,06-6626-2755
春帆楼 あべのハルカスダイニング店,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス14F,06-6625-2378
とり料理・居酒屋 ふぁみりー,大阪府大阪市阿倍野区松崎町2-3-53 メイセイビル1F,06-6622-7416
インド料理レストラン SURAJ 西田辺店,大阪府大阪市阿倍野区阪南町5-22-11 タイムス西田辺B1,06-6622-0141
KYKかつ＆カリー岸本ビル,大阪府大阪市阿倍野区阿倍野筋1-3-21 岸本ビル1F,06-6621-6639
千房 あべのキューズモール支店,大阪府大阪市阿倍野区阿倍野筋1-6-1 あべのキューズモール4F,050-1807-8953
The Britania〜窯焼きピッツア＆グリル〜,大阪府大阪市阿倍野区阿倍野筋2-1-29 ＡＩＴビルB1,06-6627-6500
串カツと肉料理 ロビンフッド 阿倍野,大阪府大阪市阿倍野区阿倍野筋2-1-37 東陽ビル2F,06-6624-0374
和食 たちばな あべのキューズモール,大阪府大阪市阿倍野区阿倍野筋1-6-1 あべのキューズモール4F,06-6633-3115
