会社名,住所,電話番号
ラーメン横綱 桂五条店,京都府京都市西京区 桂乾町11-6,075-394-2661
まちやカフェ ちゃーみーちゃっと,京都府京都市西京区 樫原下ノ町12,075-382-0560
京料理・仕出し 魚美,京都府京都市西京区 上桂東居町45,075-381-2627
CLOVER,京都府京都市西京区 桂上野東町77,075-393-9680
由美家,京都府京都市西京区 桂久方町114-6,075-394-9011
しば,京都府京都市西京区 桂上野中町144,075-392-1908
再来,京都府京都市西京区 御陵内町4-5,075-202-7633
や満六,京都府京都市西京区 山田出口町29,075-381-2061
Boucherie Yachi,京都府京都市西京区 川島調子町94,075-874-1668
串揚げダイニング 揚げいん 桂川店,京都府京都市西京区 下津林大般若町173,075-392-1594
春日乃茶屋,京都府京都市西京区 大原野南春日町1152,075-332-2281
串鷹,京都府京都市西京区 桂野里町31-18,075-874-2100
お好み焼・鉄板焼きん太 京都桂店,京都府京都市西京区 下津林大般若町175,075-391-9100
京都 うお嘉,京都府京都市西京区 大原野上里北ノ町1262,075-331-0029
そば切り こごろ,京都府京都市西京区 大原野南春日町1152,075-333-7311
京の珈琲豆処 アンダッシュコーヒー,京都府京都市西京区 桂下豆田町41-23,075-392-5767
寿司居酒屋 や台ずし 桂駅東口町,京都府京都市西京区 桂野里町50-75,075-393-2228
正法寺,京都府京都市西京区 大原野南春日町1102,075-331-0105
畑井,京都府京都市西京区 大原野小塩町331,075-331-0902
はま寿司 京都洛西店,京都府京都市西京区 樫原秤谷町35,0570-020-595
かつや京都上桂店,京都府京都市西京区上桂前田町58-5,075-950-2227
ひより 洛西口店,京都府京都市西京区川島六ノ坪町50-2,075-382-1717
カフェ フルック,京都府京都市西京区大枝西長町7-21,075-200-9221
にぎり長次郎 上桂店,京都府京都市西京区上桂三ノ宮町50-3,075-382-0477
レストラン膳,京都府京都市西京区大原野東境谷町2-4,075-332-5844
やよい軒 京都沓掛店,京都府京都市西京区大枝沓掛町13-208,075-335-1601
丸亀製麺 京都洛西店,京都府京都市西京区樫原秤谷町49-1,075-391-0766
Patisserie＆Cafe Towaneee,京都府京都市西京区松室庄田町2-5,075-334-6039
名古屋名物 赤から 京都桂店,京都府京都市西京区上桂三ノ宮町31-1,075-393-6466
右京の里 竹生,京都府京都市西京区 大原野上里鳥見町14-2,075-331-2302
味市千,京都府京都市西京区 上桂森下町1-68,075-391-2440
ちゃ蔵,京都府京都市西京区 大枝東長町1-292,075-335-3155
ゆたか亭,京都府京都市西京区 山田平尾町6-6,075-394-1159
トラットリアカザレッチョ,京都府京都市西京区 松室追上ゲ町29-5,075-381-5754
至心庵,京都府京都市西京区 松室地家町35-3,075-381-9027
カドヤ,京都府京都市西京区 川島東代町9-2,075-391-2658
炉辺荘,京都府京都市西京区 桂朝日町134,075-393-8055
あかくら,京都府京都市西京区 嵐山上海道町66-10,075-862-8557
ほんわか,京都府京都市西京区 川島有栖川町50-1,075-394-7878
一福,京都府京都市西京区 山田久田町10-71,075-394-6029
かずや,京都府京都市西京区 川島北裏町80-8,075-391-2744
やまかわ,京都府京都市西京区 山田平尾町6-6,075-393-9595
洛西松正,京都府京都市西京区 大枝東長町1-479,075-333-5000
和旬 いさりび,京都府京都市西京区 大枝西長町3-50,075-331-3891
上桂 五条店 お食事処 鮨清,京都府京都市西京区 上桂前田町10-8,075-392-0922
たから寿司,京都府京都市西京区 嵐山上海道町74-8,075-872-2581
幸寿司,京都府京都市西京区 松尾大利町101-1,075-393-8568
くいしんぼー山中,京都府京都市西京区 御陵溝浦町26-26,075-392-3745
かつ源 洛西店,京都府京都市西京区 大枝沓掛町14-8,075-335-2780
三平,京都府京都市西京区 上桂宮ノ後町99-13,075-393-2090
びっくりドンキー 洛西店,京都府京都市西京区 大枝沓掛町10-1,075-335-0789
やきとり大吉 桂店,京都府京都市西京区 御陵鴫谷7-4,075-393-6399
手打蕎麦 真心,京都府京都市西京区 上桂森下町1-68,075-394-1878
焼鳥 絆,京都府京都市西京区 川島東代町51-1,075-393-9977
たに川,京都府京都市西京区 松尾大利町20-4,075-391-9760
あや,京都府京都市西京区 上桂前田町44-14,075-391-0739
か寿が,京都府京都市西京区 大原野南春日町214-2,075-331-6993
風和,京都府京都市西京区 大枝沓掛町8-81,075-331-6999
BLUE ONION,京都府京都市西京区 嵐山朝月町53-3,075-882-8050
レザミ,京都府京都市西京区 松室北河原町2-4,075-391-0497
三好,京都府京都市西京区 樫原中垣外8-1,075-391-2000
タージマハル エベレスト 上桂店,京都府京都市西京区 上桂森下町1-233,075-393-3660
炭火焼肉屋さかい 京都洛西店,京都府京都市西京区 大枝中山町7-45,075-335-2917
グルマン マルシェ,京都府京都市西京区 上桂御正町1-1,075-392-1189
ログハウス,京都府京都市西京区 大枝西長町3-70,075-332-8880
鶏九,京都府京都市西京区 川島粟田町36-2,075-392-8669
レストラン メロディー,京都府京都市西京区 大枝中山町7-126,075-333-1233
三昧庵,京都府京都市西京区 松室地家町35-1,075-394-6565
まるまる,京都府京都市西京区 川島野田町53-2,075-381-9898
やきとり 串あげ 夢叶,京都府京都市西京区 川島有栖川町77-4,075-393-0533
きよだだ,京都府京都市西京区 桂朝日町114,075-393-9911
大三元,京都府京都市西京区 嵐山内田町6-9,075-861-0148
キッチンカトレア,京都府京都市西京区 上桂前田町28-27,075-392-7146
千弥農園,京都府京都市西京区 大枝西長町1-60,075-331-0855
大勝軒 千代原口店,京都府京都市西京区 山田車塚町5-2,075-381-2758
リコルディ Trattoria Ricordi,京都府京都市西京区 川島粟田町39-3,075-393-2788
Crescent Moon,京都府京都市西京区 嵐山朝月町3-4,075-201-3030
ご飯や興味しんしん,京都府京都市西京区 山田車塚町14-11,075-392-7550
旬香 ブランシュ,京都府京都市西京区 大原野石作町460-2,075-333-6139
松よし,京都府京都市西京区 大原野上里勝山町1-11,075-331-3491
天ぷらえびのや 京都洛西店,京都府京都市西京区 大枝中山町1-127,075-331-5909
PIZZERIA IL PICCOLINO,京都府京都市西京区 大枝西長町6-42,075-333-3018
al di la,京都府京都市西京区 川島北裏町67-8,075-963-6798
Kitchen 1484（イシバシ）,京都府京都市西京区 川島有栖川町123-2,075-392-0287
あじめ,京都府京都市西京区 山田中吉見町5-11,075-392-9876
大垣書店＆カフェ ブックパル五条店,京都府京都市西京区 上桂前田町22-3,075-381-0232
かじか,京都府京都市西京区 松室地家町2-2,075-392-2822
カフェおうちごはん華,京都府京都市西京区 大枝中山町1-253,075-331-3278
串もん まるまる 洛西口本店,京都府京都市西京区 川島六ノ坪町63-8,075-393-4119
アジョシ,京都府京都市西京区 上桂前田町13-4,075-382-1444
炭火焼肉 牛角 桂川街道店,京都府京都市西京区 桂朝日町169,075-382-0129
cafe LINDEN,京都府京都市西京区 上桂前田町10-9,075-392-2635
喰いもんや しをみ,京都府京都市西京区 山田平尾町51-250,075-381-9491
STEAK HOUSE BRONCOBILLY 洛西店,京都府京都市西京区 大枝塚原町3-142,075-874-2931
タージマハルエベレスト 桂東店,京都府京都市西京区 川島東代町32-11,075-392-3638
Haleiwa cafe 京都桂店,京都府京都市西京区 川島野田町22-3,075-754-7252
cafe クリスタル,京都府京都市西京区 大原野灰方町172-1,075-331-0053
めだか食堂,京都府京都市西京区 大枝西長町2-343,075-331-5022
魚末,京都府京都市西京区 松室追上ゲ町26-46,075-391-0827
生そば あずま 樫原店,京都府京都市西京区 樫原里ノ垣外町20-1,075-754-7266
肉料理 UNO,京都府京都市西京区 松尾鈴川町87-11,075-285-0959
京都 麺屋たけ井 TauT阪急洛西口店,京都府京都市西京区 川島六ノ坪町50-2,075-391-3633
儘,京都府京都市西京区 嵐山西一川町1-5,075-366-3885
ラー麺ずんどう屋京都洛西店,京都府京都市西京区 大枝沓掛町13-66,075-333-8848
味一人,京都府京都市西京区 大原野南春日町183-5,075-332-1498
豆腐料理にすけ,京都府京都市西京区 大枝北福西町3-2-19,075-332-8828
REFINED,京都府京都市西京区 大枝南福西町2-5-1,075-333-6390
洛西 おかだ,京都府京都市西京区 大枝南福西町2-7-6,075-331-7700
十兵衛,京都府京都市西京区 御陵大枝山町5-26-6,075-333-8555
とみずし,京都府京都市西京区 大枝北福西町3-2-22,075-332-3522
千代,京都府京都市西京区 大枝西新林町5-1-16,075-331-2371
Matsunami,京都府京都市西京区 御陵大枝山町6-25-1,075-333-7040
ゆたか寿し,京都府京都市西京区 大枝南福西町2-18-8,075-332-3443
芳汕,京都府京都市西京区 嵐山中尾下町27-4-1,075-872-6877
Madame Chou Creme,京都府京都市西京区 大枝南福西町3-1-7,075-332-6160
いずみ旬彩味処,京都府京都市西京区 上桂森下町1-68-2,075-394-0082
うなぎいっせい,京都府京都市西京区 松尾木ノ曽町59 2F-A,075-383-6500
じゅうく,京都府京都市西京区 太枝東長町1-306,075-333-2819
ミスタードーナツ 阪急桂駅前 ショップ,京都府京都市西京区 桂南巽町133 桂オーエスプラザビル1F,075-393-0227
もぐら,京都府京都市西京区 桂南巽町128-2 ユウプラザビルB1,075-393-2033
第一旭 桂店,京都府京都市西京区 桂西滝川町63 サンベール桂1F,075-392-9493
Cafe szuret,京都府京都市西京区 樫原硲町2-7 ハイツ三ノ宮101,075-393-5247
もなか,京都府京都市西京区 桂千代原町62-1 ポテスタハイツ1F,075-391-7255
苔乃茶屋,京都府京都市西京区 松尾万石町56 苔寺門前,075-381-3191
nichi cafe,京都府京都市西京区 上桂前田町21-4 1F,075-950-0671
ぱんちゃん家,京都府京都市西京区川島北裏町69 はつみビル2F,075-383-4110
サイゼリヤ 阪急桂駅西口店,京都府京都市西京区桂南巽町133-2 桂オーエスプラザビル2F,075-382-3690
旬感食彩 嵐人,京都府京都市西京区嵐山朝月町43 グレーヒル嵐山1F,075-864-0190
独活,京都府京都市西京区 大枝東長町1-505 なにわの湯内,075-333-1566
どんぐり,京都府京都市西京区 上桂前田町21-4 1F-B,075-391-9770
カフェけやき,京都府京都市西京区 大原野西境谷町2-14 洛西境谷会館,075-331-2215
ターバンカレー 桂駅前西口店,京都府京都市西京区 桂南巽町128-3 山内ビルB1,075-391-7000
珈琲舎源,京都府京都市西京区 桂徳大寺北町77 シェランジュ’88 1F,075-874-6361
さくさく,京都府京都市西京区 上桂東ノ口町112 プリメール桂1F,075-393-9054
F＋1,京都府京都市西京区 桂木ノ下町14-1 桂マンション1F,075-393-8232
焼鳥屋 鳥貴族 桂店,京都府京都市西京区川島北裏町74-1 メイゾン桂東1F,050-3164-0531
大衆酒場 どんがめ 京都桂店,京都府京都市西京区川島北裏町69-6 はつみビル1F,075-391-7766
薩摩の牛太 桂店,京都府京都市西京区 樫原盆山15-1 リー・ファーストビル2F,075-393-3914
Thule Doux,京都府京都市西京区 嵐山中尾下町3-8 グレース嵐山 1F,075-862-0877
寿司お造り 大漁 桂東口店,京都府京都市西京区 川島北裏町74-1 メイゾン桂東103号,075-381-1251
小川珈琲 洛西店,京都府京都市西京区 大原野東境谷町2-5-7 洛西ケーブルビジョン内,075-332-7518
ラーメン横綱 阪急桂店,京都府京都市西京区 桂野里町16-1 ミュー阪急桂3Fウエスト,075-394-0003
Bar パブリック,京都府京都市西京区 桂野里町50-26 SUN2桂松2F,075-392-2758
喫茶 いづみ,京都府京都市西京区 桂春日町53-6 社会福祉法人桂の泉,075-391-3103
アカツキバル,京都府京都市西京区 桂野里町50-26 SUN2桂松1F,075-381-3888
STANDING BAR DINING すいば 阪急洛西口駅店,京都府京都市西京区 川島六ノ坪町59-2 TauT阪急洛西口 A-103,075-394-3190
れすとらん 椋,京都府京都市西京区大原野上里南ノ町358-1 椋ノ木マンション1F,075-332-6996
焼鳥屋 鳥貴族 桂西口店,京都府京都市西京区川島有栖川町2 桂駅前西口ビルB1,050-1807-8696
京都らぅめん 凡蔵屋,京都府京都市西京区 川島六ノ坪町63-8 バンブーシュート洛西口2-1F,075-392-8581
ブルスケッタ,京都府京都市西京区 御陵塚ノ越町20-9 ダクタリ動物病院京都病院内,075-382-1555
カフェレーブメゾン珈夢亭高島屋洛西店,京都府京都市西京区 大原野東境谷町2-5-5 高島屋 洛西店 1F,075-333-8048
グルメシティ上桂店,京都府京都市西京区山田畑田町１０-１,075-392-4147
マクドナルド京都桂東店,京都府京都市西京区桂西滝川町１４,075-382-2473
ジョリーパスタ桂店,京都府京都市西京区上桂北村町２３７,075-394-3133
ガスト京都桂店,京都府京都市西京区牛ケ瀬奥ノ防町２２,0570-00-2129
中華そば専門店天下一品五条桂店Ｒｅｂｏｏｔ,京都府京都市西京区御陵溝浦町３,075-394-3555
松屋桂店,京都府京都市西京区樫原盆山１６-１,080-5985-8278
ロイヤルホスト桂店,京都府京都市西京区山田中吉見町９-１,075-392-7071
マクドナルド９号線中山店,京都府京都市西京区大枝中山町７-３,075-335-3059
マクドナルド五条桂店,京都府京都市西京区上桂三ノ宮町８-１,075-392-9502
ケンタッキーフライドチキン９号線洛西店,京都府京都市西京区大枝中山町８-６,075-335-1700
なか卯阪急桂駅東口店,京都府京都市西京区川島北裏町９７-２,0120-29-5770
カレーハウスＣｏＣｏ壱番屋西京大枝中山店,京都府京都市西京区大枝中山町１-１２６,075-335-0155
コメダ珈琲店京都洛西店,京都府京都市西京区大枝沓掛町９-１４０,075-874-1278
マクドナルド洛西ニュータウン店,京都府京都市西京区大原野東境谷町２-５-８,075-333-3861
宅配にぎり長次郎桂店,京都府京都市西京区山田大吉見町１６-２ベルジュール小嶋,075-925-7791
ニューまほろば,京都府京都市西京区桂西滝川町３０,075-391-9933
ＬｉｖｉｎｇＲｏｏｍパグ カフェ,京都府京都市西京区桂河田町１５１,075-874-7989
お食事処やよい,京都府京都市西京区桂千代原町６７,075-393-5536
京都桂温泉 仁左衛門の湯 仁座食堂,京都府京都市西京区樫原盆山５,075-393-4510
京西京食堂,京都府京都市西京区桂西滝川町５８,075-382-0217
和風居酒屋もぐら,京都府京都市西京区桂南巽町１２８,075-393-2033
ＺＯＯＫＯ,京都府京都市西京区桂野里町３５,075-381-3360
ラ・ブラーチェ,京都府京都市西京区桂坤町１９−１１,075-392-0700
株式会社紀代美,京都府京都市西京区御陵内町３−６,075-391-1425
ｔｏｔｔｏｃｏｃｃｏ,京都府京都市西京区嵐山宮ノ前町４４,075-432-8603
本家かまどや 桂川街道店,京都府京都市西京区上桂北村町２１２,075-393-7364
ほっかほっか亭 桂徳店,京都府京都市西京区桂徳大寺南町１０,075-381-3325
鮨清,京都府京都市西京区上桂前田町１０,075-391-4011
ラーメン横綱事務所,京都府京都市西京区桂乾町１１−６,075-394-4527
株式会社うお嘉,京都府京都市西京区大原野上里北ノ町１２６２,075-331-0029
お食事処・大開,京都府京都市西京区桂木ノ下町２０−１８,075-391-5777
今，龍馬桂店,京都府京都市西京区桂野里町５０−２６,075-394-4054
ロペ,京都府京都市西京区樫原盆山４−５,075-381-2295
魚美,京都府京都市西京区上桂東居町４５,075-381-2627
スナックさがの,京都府京都市西京区山田久田町１,075-392-0816
きん太京都桂店,京都府京都市西京区下津林大般若町１７５,075-391-9100
ＲＩＯ,京都府京都市西京区樫原分田５−４,075-393-4568
ラウンジやよい,京都府京都市西京区桂木ノ下町１−１１８,075-381-3306
姫,京都府京都市西京区樫原口戸１−１７,075-394-0355
天壇桂五条店,京都府京都市西京区桂乾町１３−４,075-392-4129
らく,京都府京都市西京区桂上野東町８９,075-394-2969
花・ＳＡＴＯ,京都府京都市西京区大原野灰方町３８７,075-332-1752
ガスト 京都桂店,京都府京都市西京区牛ケ瀬奥ノ防町２１,075-383-5830
しば,京都府京都市西京区桂上野中町１４４,075-392-0957
とりよね,京都府京都市西京区嵐山朝月町６６,075-872-7711
ＷａｙＢ,京都府京都市西京区山田車塚町２−５,075-963-5965
どん,京都府京都市西京区山田庄田町２−１０,075-393-2646
お食事処・芳汕,京都府京都市西京区嵐山中尾下町２７−４,075-872-6877
サンドベージュＲｅ,京都府京都市西京区山田南山田町２１−１,075-381-7738
ブロンコビリー 洛西店,京都府京都市西京区大枝塚原町３−１４２,075-874-2931
焼肉巧真,京都府京都市西京区山田庄田町３−６３,075-382-5529
天下一品 五条桂店,京都府京都市西京区御陵溝浦町３−６,075-394-3555
ライフデリ 京都西京,京都府京都市西京区上桂森下町１−２３４,075-925-5927
レストラン遊儘庵,京都府京都市西京区大枝西長町３−１６５,075-874-3363
ホットバー桂・西口店,京都府京都市西京区川島有栖川町９６−３,075-391-1811
串もんまるまる 本店,京都府京都市西京区川島六ノ坪町６３−８,075-393-4119
お酒とごはんの家金八,京都府京都市西京区山田大吉見町５−１１,075-202-2277
スタメン ＳＴＡＲＴ ＷＩＴＨ ＭＥＮ 樫原本店,京都府京都市西京区樫原畔ノ海道１０−５８,075-874-6003
桜と都,京都府京都市西京区上桂森下町１−２５５,075-874-7683
旬菜中華喜鳥,京都府京都市西京区川島北裏町７４−１,075-382-5700
東東,京都府京都市西京区上桂前田町９−４,075-392-5992
ちゃんこ江戸沢京都桂店,京都府京都市西京区上桂三ノ宮町３１−１,075-393-6466
竹生,京都府京都市西京区大原野上里鳥見町１４−２,075-331-2302
ピザーラ桂店,京都府京都市西京区川島有栖川町９６−３,075-381-9400
大誠産業株式会社,京都府京都市西京区御陵溝浦町２６−１３,075-391-8181
たい家,京都府京都市西京区山田南山田町５−１３,075-391-2424
カザレッチョ,京都府京都市西京区松室追上ゲ町２９−５,075-381-5754
魚末,京都府京都市西京区松室追上ゲ町２６−４６,075-391-7305
本家かまどや 洛西ニュータウン店,京都府京都市西京区大枝中山町７−１８４,075-331-2555
パセリの森,京都府京都市西京区大枝中山町３−１０５,075-332-3229
ごはん日和上桂店,京都府京都市西京区松尾鈴川町８７−４,075-391-0664
竹生,京都府京都市西京区大原野上里鳥見町１４−２,075-331-8824
ぽっぽや洛西口店,京都府京都市西京区川島六ノ坪町６３−８,075-392-8581
串揚げ串蔵,京都府京都市西京区樫原平田町１５−２０,075-394-1456
漁火,京都府京都市西京区大枝西長町３−５０,075-331-3891
ほっかほっか亭 洛西ニュータウン店,京都府京都市西京区大枝東長町１−３０６,075-333-8800
ワイズカフェ ゼロ,京都府京都市西京区松室庄田町２−５,075-334-6039
シャトレーゼ 桂店,京都府京都市西京区下津林前泓町１５−７,075-394-5551
広島のお好み焼き工房三好,京都府京都市西京区樫原中垣外８−１,075-391-2000
ロンド,京都府京都市西京区大枝沓掛町１３−２１２,075-333-8811
ドミノ・ピザ 樫原山陰街道店,京都府京都市西京区樫原水築町５−１１,075-382-4510
おばんざい処ＢＩＧＭＡＭ,京都府京都市西京区松尾木ノ曽町５０−４,075-391-5899
にしりょう向陽台店,京都府京都市西京区大原野東野町３−３５９,075-331-2413
御座候 洛西高島屋店,京都府京都市西京区大原野東境谷町２丁目５−５,075-333-8024
魚民 近鉄大久保駅前店（京都府）,京都府宇治市広野町西裏1-16 サンマルシェ大久保1F,0774-41-6188
グルメリア但馬 宇治店,京都府宇治市広野町桐生谷28-5,0774-43-1129
京都府立山城総合運動公園 太陽が丘 レストラン太陽,京都府宇治市 広野町八軒屋谷1 京都府立山城総合運動公園（太陽が丘）公園センター内,0774-22-8015
宇治創こころ,京都府宇治市宇治妙楽58,0774-24-5617
coconi,京都府宇治市宇治妙楽16,0774-51-1183
無添くら寿司 宇治大久保店,京都府宇治市大久保町大竹55,0774-48-3602
天壇ニュースタイルビュッフェ 宇治小倉店,京都府宇治市小倉町久保15,0774-24-4129
平等院通り 川文,京都府宇治市 宇治蓮華22,0774-21-2556
鉄板焼きおりーぶ,京都府宇治市 開町61-6,0774-46-3248
とり菊,京都府宇治市 宇治蓮華95,0774-21-2576
岡田珈琲店,京都府宇治市 神明宮北105,0774-23-5525
鮨席初瀬,京都府宇治市 槇島町南落合76,0774-22-3301
ブーメラン,京都府宇治市 開町1-13,0774-43-2066
LaVita,京都府宇治市 莵道森本12,0774-20-5018
コメダ珈琲店 京都宇治店,京都府宇治市 槇島町五才田5,0774-39-8768
赤門茶屋,京都府宇治市 宇治蓮華21,0774-21-2058
ラーメン 名木,京都府宇治市 伊勢田町名木3,0774-44-5229
山音,京都府宇治市 小倉町久保32,0774-21-2274
クラフト＆喫茶 ほおづえ,京都府宇治市 宇治蓮華9,0774-23-5298
魚照,京都府宇治市 小倉町南浦16,0774-22-1965
地鶏家 心,京都府宇治市 宇治妙楽25,0774-22-5584
お食事 扇屋,京都府宇治市 宇治蓮華21,0774-21-2545
はなれ,京都府宇治市 宇治妙楽155,0774-20-1011
うお留,京都府宇治市 宇治妙楽60,0774-21-2281
六条庵,京都府宇治市 宇治蓮華5,0774-20-5489
タリーズコーヒー 宇治徳洲会病院店,京都府宇治市 槇島町石橋145,0774-25-5121
辻利 宇治本店,京都府宇治市 宇治妙楽156,0774-94-6990
食堂 山小屋,京都府宇治市 宇治妙楽144,0774-25-6889
京都巽庵 お休み処 丸吉,京都府宇治市 宇治蓮華14,0774-22-4066
茶房 きくや,京都府宇治市 宇治蓮華21,0774-22-9097
Cafe de SAKURA,京都府宇治市 宇治蓮華69,0774-22-1448
竹林 本店,京都府宇治市 宇治池森19,0774-22-7475
お茶のかんばやし 宇治橋通り本店,京都府宇治市 宇治妙楽43,0774-22-2514
びすとろD,京都府宇治市 宇治妙楽154,0774-20-8808
Marche BBQ 6J,京都府宇治市 木幡陣ノ内55,0774-38-1717
レストラン マリヴォー,京都府宇治市宇治妙楽4-9,0774-21-2358
Fantaisie,京都府宇治市小倉町西浦88-83,0774-28-6000
六地蔵 TSUNAGU ツナグ,京都府宇治市六地蔵奈良町39-17,0774-32-4120
函館市場 京阪宇治店,京都府宇治市宇治東内16,0774-25-7127
伊藤久右衛門,京都府宇治市菟道荒槙19-3,0774-23-3993
焼鳥屋 鳥貴族 宇治大久保店,京都府宇治市広野町西裏100-5,050-1807-6252
六地蔵ホルモンスタミナ家族,京都府宇治市六地蔵奈良町20-8,0774-32-4441
『本日のおすすめ』 大久保店,京都府宇治市大久保町北ノ山96-1,0774-46-2418
和食麺処 サガミ 宇治東店,京都府宇治市莵道籔里23,0774-46-8110
京鴨バーガー 京鴨kitchen 善（ZEN）,京都府宇治市宇治妙楽171-21,0774-39-8038
サイゼリヤ 宇治里尻店,京都府宇治市宇治里尻77,0774-28-1281
餃子の王将 国道大久保店,京都府宇治市大久保町田原76-1,0774-44-8598
RASAPIRI RESTAURANT＆BAR,京都府宇治市莵道森本12-6,070-3781-1944
ほっともっと 宇治槇島店,京都府宇治市槇島町本屋敷19,0774-28-6898
ほっともっと 宇治戸ノ内店,京都府宇治市宇治戸ノ内82-4,0774-25-6555
ゴーゴーカレー 宇治六地蔵スタジアム,京都府宇治市六地蔵町並46-10,0774-66-5819
エスカルゴ,京都府宇治市 小倉町神楽田33-11,0774-23-3483
かつ丼 元 宇治小倉店,京都府宇治市 小倉町春日森10,0774-24-0977
どんぐり,京都府宇治市 小倉町蓮池169-16,0774-20-1440
どんたく,京都府宇治市 宇治宇文字15,0774-22-9953
川東まつもと,京都府宇治市 宇治山田18-3,0774-21-3205
蓮華茶屋,京都府宇治市 宇治蓮華23-1,0774-23-0666
浮舟亭,京都府宇治市 莵道門前31-3,0774-28-5860
とんちんかん,京都府宇治市 小倉町南浦92-28,0774-24-8528
まじま商店,京都府宇治市 莵道森本4-5,0774-24-4588
まんぷく,京都府宇治市 六地蔵奈良町39-9,0774-33-4169
genki,京都府宇治市 小倉町蓮池162-3,0774-24-7335
串道楽,京都府宇治市 小倉町西浦88-43,0774-20-5213
來良,京都府宇治市 小倉町西浦5-12,0774-22-1900
呑んべえ,京都府宇治市 小倉町西浦78-3,0774-24-2666
まるは亭,京都府宇治市 木幡正中56-8,0774-33-8929
焼肉モリタ屋,京都府宇治市 小倉町山際16-10,0774-20-6003
喜撰茶屋,京都府宇治市 宇治塔川13,0774-22-1123
大力餅,京都府宇治市 木幡御園20-165,0774-31-5227
ヴィコロ,京都府宇治市 宇治妙楽171-17,0774-24-7050
うえだ手もみうどん店,京都府宇治市 宇治蛇塚-76-3,0774-23-4909
べんけい,京都府宇治市 小倉町南浦80-29,0774-20-3477
四四田,京都府宇治市 木幡陣ノ内51-3,0774-32-1190
御料理処 かわます,京都府宇治市 莵道丸山208-2,0774-21-3035
さわい鮨,京都府宇治市 宇治半白8-91,0774-20-2890
助十,京都府宇治市 大久保町北ノ山86,0774-44-1660
すし勝,京都府宇治市 神明宮東59-8,0774-22-1793
すしまさ,京都府宇治市 宇治半白120-62,0774-21-3036
乃奈加,京都府宇治市 莵道田中35-5,0774-20-0811
相撲茶屋やぐら,京都府宇治市 六地蔵町並み39-3,0774-32-0821
かわむら,京都府宇治市 莵道池山19-9,0774-22-8282
焼鳥 鳥友,京都府宇治市 宇治戸ノ内67-7,0774-22-3166
銀杏庵,京都府宇治市 五ケ庄三番割22,0774-33-0019
串徳,京都府宇治市 小倉町西浦29-3,0774-21-1334
シルクロード,京都府宇治市 小倉町蓮池160-2,0774-24-4207
レストランウインベール,京都府宇治市 神明石塚54-494,0774-24-1467
